[run number],connect-number,resource-abundance,altruist-number,Max.Resource,Shared,hardship,miser-number,[step],sum [Waste] of altruists,sum [Harvest] of altruists,min [Harvest] of altruists,max [Harvest] of altruists,count foods,count (altruists) with [Harvest = 0]
6,3,2,20,52,0.33,0.1,0,34,5327.779451,972.2205492,32.76510896,51.1560093,380,0
2,3,2,20,52,0.33,0.1,0,37,4166.954853,996.5451474,34.78320793,52,380,0
3,3,2,20,52,0.33,0.1,0,35,5008.089011,994.9109889,34.84,52,380,0
5,3,2,20,52,0.33,0.1,0,38,4653.75371,983.2462898,34.84,51.52113713,380,0
1,3,2,20,52,0.33,0.1,0,33,3766.412874,1000.087126,34.82150637,52,380,0
4,3,2,20,52,0.33,0.1,0,36,5845.652956,988.3470444,34.0965574,52,380,0
7,3,2,20,52,0.33,0.1,0,34,5008.6413,983.3586996,34.20347688,51.42307004,380,0
8,3,2,20,52,0.33,0.1,0,34,6753.017622,991.9823776,34.82243159,52,380,0
6,3,2,20,52,0.33,0.1,0,35,5386.260622,990.739378,31.79723398,51.8884768,380,0
2,3,2,20,52,0.33,0.1,0,38,4177.024672,974.9753285,33.99007046,52,380,0
3,3,2,20,52,0.33,0.1,0,36,5201.429374,994.5706263,34.70705606,52,380,0
5,3,2,20,52,0.33,0.1,0,39,4859.312118,995.1878819,34.83171262,52,380,0
4,3,2,20,52,0.33,0.1,0,37,5888.062521,988.9374791,34.4111565,51.65067372,380,0
7,3,2,20,52,0.33,0.1,0,35,5212.843685,996.6563149,34.78538508,52,380,0
1,3,2,20,52,0.33,0.1,0,34,4016.492313,996.5076867,34.70342594,52,380,0
