[run number],connect-number,resource-abundance,altruist-number,Max.Resource,Shared,hardship,miser-number,[step],sum [Waste] of misers,sum [Harvest] of misers,min [Harvest] of misers,max [Harvest] of misers,count (misers) with [Harvest <= 0]
4,3,2,0,52,0.33,0.1,20,24,3733.5,1006.5,48,52,0
1,3,2,0,52,0.33,0.1,20,22,2874.5,1014.5,48,52,0
6,3,2,0,52,0.33,0.1,20,23,3796,1040,52,52,0
5,3,2,0,52,0.33,0.1,20,23,3468.5,1039,51,52,0
2,3,2,0,52,0.33,0.1,20,30,3250,1036,50,52,0
7,3,2,0,52,0.33,0.1,20,24,3087,1039,51,52,0
3,3,2,0,52,0.33,0.1,20,24,3619.5,992.5,6,52,0
8,3,2,0,52,0.33,0.1,20,23,3496,1040,52,52,0
4,3,2,0,52,0.33,0.1,20,25,3912.5,1027.5,48,52,0
1,3,2,0,52,0.33,0.1,20,23,3121,1035,49,52,0
2,3,2,0,52,0.33,0.1,20,31,3476.5,1037.5,50,52,0
6,3,2,0,52,0.33,0.1,20,24,3986,1036,50,52,0
5,3,2,0,52,0.33,0.1,20,24,3708.5,1038.5,50.5,52,0
3,3,2,0,52,0.33,0.1,20,25,3805,993,6,52,0
7,3,2,0,52,0.33,0.1,20,25,3326,1040,52,52,0
2,3,2,0,52,0.33,0.1,20,32,3643.5,1035.5,50,52,0
8,3,2,0,52,0.33,0.1,20,24,3700.5,1035,50,52,0
4,3,2,0,52,0.33,0.1,20,26,4121,1034,47,52,0
1,3,2,0,52,0.33,0.1,20,24,3336,1040,52,52,0
2,3,2,0,52,0.33,0.1,20,33,3690,1018,48,52,0
5,3,2,0,52,0.33,0.1,20,25,3958.5,1040,52,52,0
8,3,2,0,52,0.33,0.1,20,25,3700.5,1019.5,48,52,0
6,3,2,0,52,0.33,0.1,20,25,4171.5,1036.5,50,52,0
2,3,2,0,52,0.33,0.1,20,34,3793.5,1015.5,46,52,0
3,3,2,0,52,0.33,0.1,20,26,4003,993,6,52,0
7,3,2,0,52,0.33,0.1,20,26,3474,1034,50,52,0
4,3,2,0,52,0.33,0.1,20,27,4356,1037,50.5,52,0
8,3,2,0,52,0.33,0.1,20,26,3860.5,1029,46,52,0
1,3,2,0,52,0.33,0.1,20,25,3554,1040,52,52,0
6,3,2,0,52,0.33,0.1,20,26,4404,1040,52,52,0
5,3,2,0,52,0.33,0.1,20,26,4193,1038,50,52,0
2,3,2,0,52,0.33,0.1,20,35,3973,1031,44,52,0
3,3,2,0,52,0.33,0.1,20,27,4209,992,6,52,0
4,3,2,0,52,0.33,0.1,20,28,4512,1028,49,52,0
7,3,2,0,52,0.33,0.1,20,27,3662.5,1036.5,50,52,0
1,3,2,0,52,0.33,0.1,20,26,3801,1039,51,52,0
2,3,2,0,52,0.33,0.1,20,36,4167,1040,52,52,0
8,3,2,0,52,0.33,0.1,20,27,4028,1035,49,52,0
6,3,2,0,52,0.33,0.1,20,27,4596,1040,52,52,0
5,3,2,0,52,0.33,0.1,20,27,4392.5,1038,50,52,0
3,3,2,0,52,0.33,0.1,20,28,4365.5,987.5,6,52,0
4,3,2,0,52,0.33,0.1,20,29,4759,1036,49,52,0
2,3,2,0,52,0.33,0.1,20,37,4256,1022,50,52,0
7,3,2,0,52,0.33,0.1,20,28,3848.5,1036.5,50,52,0
8,3,2,0,52,0.33,0.1,20,28,4168.5,1031,48,52,0
1,3,2,0,52,0.33,0.1,20,27,4050.5,1039.5,51.5,52,0
6,3,2,0,52,0.33,0.1,20,28,4813,1035,50,52,0
5,3,2,0,52,0.33,0.1,20,28,4596.5,1037.5,50.5,52,0
3,3,2,0,52,0.33,0.1,20,29,4567,989,6,52,0
2,3,2,0,52,0.33,0.1,20,38,4435,1025,48,52,0
4,3,2,0,52,0.33,0.1,20,30,4964,1039,51,52,0
4,3,2,0,52,0.33,0.1,20,31,4973,1018,50,52,0
8,3,2,0,52,0.33,0.1,20,29,4313,1026,47,52,0
2,3,2,0,52,0.33,0.1,20,39,4505.5,1006.5,46,52,0
7,3,2,0,52,0.33,0.1,20,29,4060,1033,50,52,0
1,3,2,0,52,0.33,0.1,20,28,4350,1040,52,52,0
2,3,2,0,52,0.33,0.1,20,40,4505.5,982.5,44,52,0
5,3,2,0,52,0.33,0.1,20,29,4861.5,1040,52,52,0
6,3,2,0,52,0.33,0.1,20,29,5026,1035,48,52,0
4,3,2,0,52,0.33,0.1,20,32,5113,1015,48,52,0
2,3,2,0,52,0.33,0.1,20,41,4505.5,958.5,42,52,0
3,3,2,0,52,0.33,0.1,20,30,4795.5,992.5,6,52,0
8,3,2,0,52,0.33,0.1,20,30,4499.5,1031,46,52,0
1,3,2,0,52,0.33,0.1,20,29,4585.5,1037.5,51,52,0
7,3,2,0,52,0.33,0.1,20,30,4261,1039,51,52,0
5,3,2,0,52,0.33,0.1,20,30,5062.5,1036.5,50,52,0
6,3,2,0,52,0.33,0.1,20,30,5170,1027,46,52,0
2,3,2,0,52,0.33,0.1,20,42,4664,1026,47,52,0
4,3,2,0,52,0.33,0.1,20,33,5329,1040,52,52,0
5,3,2,0,52,0.33,0.1,20,31,5062.5,1019,48,52,0
3,3,2,0,52,0.33,0.1,20,31,5015,992,6,52,0
8,3,2,0,52,0.33,0.1,20,31,4662.5,1037.5,51,52,0
7,3,2,0,52,0.33,0.1,20,31,4413.5,1038.5,51,52,0
1,3,2,0,52,0.33,0.1,20,30,4793,1038,50,52,0
6,3,2,0,52,0.33,0.1,20,31,5320.5,1036.5,50,52,0
2,3,2,0,52,0.33,0.1,20,43,4899,1037,49,52,0
4,3,2,0,52,0.33,0.1,20,34,5603,1040,52,52,0
3,3,2,0,52,0.33,0.1,20,32,5237.5,989.5,6,52,0
5,3,2,0,52,0.33,0.1,20,32,5290,1037,49,52,0
8,3,2,0,52,0.33,0.1,20,32,4839,1039.5,51.5,52,0
2,3,2,0,52,0.33,0.1,20,44,5076,1040,52,52,0
6,3,2,0,52,0.33,0.1,20,32,5533.5,1037.5,50,52,0
1,3,2,0,52,0.33,0.1,20,31,5016,1039,51,52,0
7,3,2,0,52,0.33,0.1,20,32,4603.5,1036.5,50,52,0
4,3,2,0,52,0.33,0.1,20,35,5803,1040,52,52,0
8,3,2,0,52,0.33,0.1,20,33,4959.5,1031.5,50,52,0
